MLC Song Code,Primary Title,ISWC,Member Song IDs,Artists,Party Id,Party Name,Party IPI,Party Role,Collectible Share,Chain of Title Id,Chain of Title Parent Id
EB2AOO,EL CUADERNO,,,NIVEL C,13029158,"AUDELO, JULIO CESAR",,Composer/Author,,2,
EB2AOO,EL CUADERNO,,,NIVEL C,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EB2AOO,EL CUADERNO,,,NIVEL C,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
LA5LUL,LA EMBOSCADA DE BARRERA,,,LOS DOS DE TAMAULIPAS,13029150,"MEDRANO, JOSE GUADALUPE",,Composer/Author,,2,
LA5LUL,LA EMBOSCADA DE BARRERA,,,LOS DOS DE TAMAULIPAS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
LA5LUL,LA EMBOSCADA DE BARRERA,,,LOS DOS DE TAMAULIPAS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
IC5V3P,INDISPENSABLE,,,IMPOSTORES DE NUEVO LEON,12999692,"GARCIA, PALOMARES JOSE MARTIN",00479247216,Composer/Author,,3,
IC5V3P,INDISPENSABLE,,,IMPOSTORES DE NUEVO LEON,12999690,"GARCIA, PALOMARES RUBEN ANTONIO",00350939157,Composer/Author,,2,
IC5V3P,INDISPENSABLE,,,IMPOSTORES DE NUEVO LEON,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2|3
IC5V3P,INDISPENSABLE,,,IMPOSTORES DE NUEVO LEON,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
MA043S,MUCHO TE QUIERO,,,IMPOSTORES DE NUEVO LEON,12999692,"GARCIA, PALOMARES JOSE MARTIN",00479247216,Composer/Author,,3,
MA043S,MUCHO TE QUIERO,,,IMPOSTORES DE NUEVO LEON,12999690,"GARCIA, PALOMARES RUBEN ANTONIO",00350939157,Composer/Author,,2,
MA043S,MUCHO TE QUIERO,,,IMPOSTORES DE NUEVO LEON,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2|3
MA043S,MUCHO TE QUIERO,,,IMPOSTORES DE NUEVO LEON,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
QB31JM,QUE TANTO ES TANTITO,,,ADRIANA RIOS,12983005,"RIOS, ADRIANA ISABEL I",00855462023,Composer/Author,,3,
QB31JM,QUE TANTO ES TANTITO,,,ADRIANA RIOS,12645056,"PEREZ RODRIGUEZ, OFELIA ALEJANDRA",00725123668,Composer/Author,,2,
QB31JM,QUE TANTO ES TANTITO,,,ADRIANA RIOS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
QB31JM,QUE TANTO ES TANTITO,,,ADRIANA RIOS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
PF5MY0,PIANO DE SIERRA,,,LOS AUSTEROS DE DURANGO,11898633,"GONZALEZ, VIANCA L",00830533365,Composer/Author,,2,
PF5MY0,PIANO DE SIERRA,,,LOS AUSTEROS DE DURANGO,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
PF5MY0,PIANO DE SIERRA,,,LOS AUSTEROS DE DURANGO,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
HA5UZI,HOMBRE DE RANCHO,T9286793111,,El Fantasma | EL FANTASMA,4055894,"GURROLA MARTINES, EDUARDO",00744621837,Composer/Author,,2,
HA5UZI,HOMBRE DE RANCHO,T9286793111,,El Fantasma | EL FANTASMA,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
HA5UZI,HOMBRE DE RANCHO,T9286793111,,El Fantasma | EL FANTASMA,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
OC11K5,OAK TREE SPECIAL,,,IMPOSTORES DE NUEVO LEON,12982671,"DAVILA, ISIDRO",,Composer/Author,,2,
OC11K5,OAK TREE SPECIAL,,,IMPOSTORES DE NUEVO LEON,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
OC11K5,OAK TREE SPECIAL,,,IMPOSTORES DE NUEVO LEON,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
DB5EX5,DOLOR AL CORAZON,,,CANELOS JRS,11637678,"MEZA, SERGIO BLADIMIR",,Composer/Author,,2,
DB5EX5,DOLOR AL CORAZON,,,CANELOS JRS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
DB5EX5,DOLOR AL CORAZON,,,CANELOS JRS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EB248I,EL 3 DE LOS AVENDANO,,,CANELOS JRS,11637678,"MEZA, SERGIO BLADIMIR",,Composer/Author,,2,
EB248I,EL 3 DE LOS AVENDANO,,,CANELOS JRS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EB248I,EL 3 DE LOS AVENDANO,,,CANELOS JRS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
RB3UIL,RECORDANDO A BARRERA,,,Canelos Jrs | CANELOS JRS,13345405,"MEZA, SERGIO BLADIMIR LEON",00826723624,Composer/Author,,2,
RB3UIL,RECORDANDO A BARRERA,,,Canelos Jrs | CANELOS JRS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
